number,short_description,kb_category,meta
KB0017314,Computer Shows No Audio Device Connected,Hardware Repair,"KCS, no_audio, audio"
KB0017658,"Software - Adobe Captivate ""Copying Failed""",Software,"KCS, software, adobe, adobe captivate, captivate, copying failed, unable to use adobe captivate"
KB0017178,VOAL - Access Denied After DUO Enrollment,VOAL,"KCS, voal, duo, access denied, duo enrolled, enrolled in duo, cannot log in, can't log in,"
KB0016573,Replace Aggie Card,General,"KCS, replace, aggie, card, id, replacement, order, get, aggiecard, lost, tamu, "
KB0017650,Qualtrics - Sharing Surveys Outside of Organization,Qualtrics,"KCS, qualtrics, survey, share, organization, tamu, outside, "
KB0017399,Unable to Access Qualtrics,Qualtrics,"KCS, qualtrics, access, unable, "
KB0016338,Howdy - Updating the address,General,"KCS, update, addresses, howdy, incoming, new, student, conference, issue, registration, register, button, link"
KB0016760,Change Default Program for Files,Windows 10 OS,"KCS, change, default, program, files, windows, 10, type, apps, settings, default, app, application, switch, open, "
KB0017367,ResNet - Setting up a Router,Resnet,"KCS, resnet, dorm, dorm network, on campus network, wired, connection, wired connection, router, wireless router, set up router, setting up router, set up a router, setup"
KB0016612,FSQ - Your Account is Not Eligible,Former Student,"KCS, former student, account, eligible, howdy, transcript, transcripts, order, affiliation, benefits, your, not, error, message, former, student, questionnaire, "
KB0017176,"people.tamu.edu - ""Howdy! this page is currently under construction.""",Other Tech Support,"KCS, people webpage, people.tamu.edu, under construction, error, personal webpage"
KB0017285,General - Recovering iPhone Text Messages,General,"KCS, iphone, ios, text message, recovering text messages, recover text message, recover imessage"
KB0016239,Locked Out of Computer,Other Tech Support,"KCS, locked out, lock out, locked out of computer, computer locked out, work computer lock out, computer, work computer locked out, can't log in to computer, cant log in to computer, cannot log into computer"
KB0017669,Email Delivery Failure Due to DMARC Policy,"Email, Calendar, and Collaboration","KCS, dmarc, policy, email, delivery, failure, fail, bounce_back, back, bounce, gov, rejected, reject, error_message, error, "
KB0017565,Ubuntu - Boot Issues (GUI),Counter,"KCS, ubuntu boot issues, ubuntu, ubuntu update, ubuntu gui, gui error, gui, boot error"
KB0017564,Counter - Multiple Windows Pop-Up when USB Plugged In,Counter,"KCS, usb, pop-ups, windows pop up, usb pop up, usb windows pops up, usb error, flashdrive, flashdrive pop-ups, multiple windows flash drive"
KB0017402,Account - Student is Unable to Access Terra/Ada,Enrolled Student,"KCS, terra, ada, account doesn't exist, HRPC, terra/ada account, account"
KB0017890,Counter - Loaning Out Tools/Equipment,Counter,"KCS, counter, equipment, tools, teeny turners, toolkits, docking station, data recovery, loaning, borrowing, lend out, lending, policy, HDC, help desk central"
KB0016993,VOAL - Unable to Save Files to Documents Folder,VOAL,"KCS, voal, oal, folder, save, files, document, unable, cant, cannot, can't, not, able, web, access, faculty, staff, drive, home, "
KB0016825,ResLife - TV Needs Repair,General,"KCS, ResLife, residence life, residence_life, reslife tv, reslife_tv, tv lounge, tv_loung, television, television_lounge"
KB0016603,Unable to launch MatLab via VOAL,VOAL,"KCS, matlab, voal, linux, can't, cant, unable, cannot, not, able, launch, open, app, application, applications, "
KB0015710,Outlook - Avast is interfering with Outlook 2016 ,Outlook,"KCS, avast_blocking_email_outlook_2016, avast_interfering_with_outlook_2016, avast_blocking_email_in_outlook_2016"
KB0014587,Gmail - Emails Not Recieved/Bouncing,"Email, Calendar, and Collaboration","KCS, email_forwarding, TAMU_gmail, tamu email, email_forwarding_settings, email not working, undeliverable, email does not deliver, Email_bouncing_back, Forwarding_emails, mail_routing, Email_settings, tamu gmail, not receiving email, return to sender, professors can't send email to me ,gateway, gmail, incorrect gateway settings, tamu email bounces back, tamu email doesn't work, tamu gmail bounces, email bounces, bounce back emails, email problems, Unable to Receive Emails"
